company_name,category_name,product_name,product_image,product_description,calorie_info,product_url
Wendy's,What's New,Grilled Cheese Cheeseburger Single,https://www.wendys.com/sites/default/files/styles/max_650x650/public/2025-10/Grilled%20Cheese%20Single%20%281%29_0.png?itok=qfeW76AR,"Cheeseburgers are great. Grilled Cheese Sandwiches are great. A Grilled Cheese Cheeseburger is NEXT LEVEL. Our new Grilled Cheese Cheeseburger comes with one patty of Wendy’s fresh beef, topped with caramelized onions, creamy mayo, and a melty cheese slice, all served between even more cheese with two grilled cheese sandwiches as buns.  It’s the ultimate craving crushing sandwich!",843 kcal,https://www.wendys.com/en-gb/grilled-cheese-cheeseburger-single
Wendy's,What's New,Grilled Cheese Cheeseburger Double,https://www.wendys.com/sites/default/files/styles/max_650x650/public/2025-10/Grilled%20Cheese%20Double_0.png?itok=k6TP7_UF,"Cheeseburgers are great. Grilled Cheese Sandwiches are great. A Grilled Cheese Cheeseburger is NEXT LEVEL. Our new Grilled Cheese Cheeseburger comes with two patties of Wendy’s fresh beef, topped with caramelized onions, creamy mayo, and a melty cheese slice, all served between even more cheese with two grilled cheese sandwiches as buns.  It’s the ultimate craving crushing sandwich!",1250 kcal,https://www.wendys.com/en-gb/grilled-cheese-cheeseburger-double
Wendy's,What's New,Grilled Cheese Cheeseburger Tripple,https://www.wendys.com/sites/default/files/styles/max_650x650/public/2025-10/Grilled%20Cheese%20Tripple_0.png?itok=TKewELTP,"Cheeseburgers are great. Grilled Cheese Sandwiches are great. A Grilled Cheese Cheeseburger is NEXT LEVEL. Our new Grilled Cheese Cheeseburger comes with three patties of Wendy’s fresh beef, topped with caramelized onions, creamy mayo, and a melty cheese slice, all served between even more cheese with two grilled cheese sandwiches as buns.  It’s the ultimate craving crushing sandwich!",1657 kcal,https://www.wendys.com/en-gb/grilled-cheese-cheeseburger-tripple
Wendy's,What's New,Regular Vanilla Biscoff® Frosty®,https://www.wendys.com/sites/default/files/styles/max_650x650/public/2025-10/BISCOFF%20FROSTY%20-%20VANILLA_0.png?itok=VuE1WrJa,"Wendy’s signature Vanilla Frosty® swirled together with decadent Biscoff®Topping sauce and topped with crunchy Biscoff®Crumb. It is the ultimate dessert experience, only at Wendy’s!",532 kcal,https://www.wendys.com/en-gb/regular-vanilla-biscoffr-frostyr
Wendy's,What's New,Large Vanilla Biscoff® Frosty®,https://www.wendys.com/sites/default/files/styles/max_650x650/public/2025-10/BISCOFF%20FROSTY%20-%20VANILLA_1.png?itok=0zbaWemH,"Wendy’s signature Vanilla Frosty® swirled together with decadent Biscoff®Topping sauce and topped with crunchy Biscoff®Crumb. It is the ultimate dessert experience, only at Wendy’s!",605 kcal,https://www.wendys.com/en-gb/large-vanilla-biscoffr-frostyr
Wendy's,What's New,Regular Chocolate Biscoff® Frosty®,https://www.wendys.com/sites/default/files/styles/max_650x650/public/2025-10/BISCOFF%20FROSTY%20-%20CHOC_0.png?itok=uAbShYew,"Wendy’s signature Chocolate Frosty® swirled together with decadent Biscoff®Topping sauce and topped with crunchy Biscoff®Crumb. It is the ultimate dessert experience, only at Wendy’s!",506 kcal,https://www.wendys.com/en-gb/regular-chocolate-biscoffr-frostyr
Wendy's,What's New,Large Chocolate Biscoff® Frosty®,https://www.wendys.com/sites/default/files/styles/max_650x650/public/2025-10/BISCOFF%20FROSTY%20-%20CHOC_2.png?itok=DI5g9gKV,"Wendy’s signature Chocolate Frosty® swirled together with decadent Biscoff®Topping sauce and topped with crunchy Biscoff®Crumb. It is the ultimate dessert experience, only at Wendy’s!",582 kcal,https://www.wendys.com/en-gb/large-chocolate-biscoffr-frostyr
Wendy's,What's New,3 Pc Chicken Tenders,https://www.wendys.com/sites/default/files/styles/max_650x650/public/2025-09/3%20PC%20Tenders_0.png?itok=okl2joqx,"3 pieces of real, juicy chicken fillet lightly breaded and fried for a crispy, delicious bite.  Pair with your favourite sauce from our bold new lineup and you have a match made in heaven.",257 kcal,https://www.wendys.com/en-gb/3-pc-chicken-tenders
Wendy's,What's New,3 Pc Chicken Tenders Combo,https://www.wendys.com/sites/default/files/styles/max_650x650/public/2025-09/3%20PC%20Tenders%20Combo_0.png?itok=umRMNqN_,"3 pieces of real, juicy chicken fillet lightly breaded and fried for a crispy, delicious bite.  Pair with your favourite sauce from our bold new lineup and you have a match made in heaven.",433 - 633 kcal,https://www.wendys.com/en-gb/3-pc-chicken-tenders-combo
Wendy's,What's New,5 Pc Chicken Tenders,https://www.wendys.com/sites/default/files/styles/max_650x650/public/2025-09/5%20PC%20Tenders_0.png?itok=szu8Y2u-,"5 pieces of real, juicy chicken fillet lightly breaded and fried for a crispy, delicious bite.  Pair with your favourite sauce from our bold new lineup and you have a match made in heaven.",433 kcal,https://www.wendys.com/en-gb/5-pc-chicken-tenders
